invoice_no,invoice_date,customer_id,customer_name,gstin,taxable_value,tax_amount,total,voucher_id
CA/24-25/0016,2024-11-10,C-019,Customer 019 Retail,24ZZ1118A1Z6,362357.00,65224.26,427581.26,SAL-00316
CA/24-25/0017,2024-06-20,C-017,Customer 017 Retail,33ZZ1116A1Z2,200183.00,36032.94,236215.94,SAL-00317
CA/24-25/0018,2024-11-16,C-018,Customer 018 Retail,07ZZ1117A1Z9,301071.00,54192.78,355263.78,SAL-00318
CA/24-25/0019,2024-04-27,C-017,Customer 017 Retail,33ZZ1116A1Z2,279996.00,50399.28,330395.28,SAL-00319
CA/24-25/0020,2024-06-09,C-030,Customer 030 Retail,07ZZ1129A1Z3,372578.00,67064.04,439642.04,SAL-00320
CA/24-25/0021,2024-11-20,C-009,Customer 009 Retail,27ZZ1108A1Z6,131756.00,23716.08,155472.08,SAL-00321
CA/24-25/0022,2024-09-30,C-020,Customer 020 Retail,36ZZ1119A1Z3,111558.00,20080.44,131638.44,SAL-00322
CA/24-25/0023,2025-01-27,C-005,Customer 005 Retail,33ZZ1104A1Z8,88395.00,15911.10,104306.10,SAL-00323
CA/24-25/0024,2025-03-27,C-024,Customer 024 Retail,07ZZ1123A1Z1,275786.00,49641.48,325427.48,SAL-00324
CA/24-25/0025,2025-03-22,C-017,Customer 017 Retail,33ZZ1116A1Z2,166558.00,29980.44,196538.44,SAL-00325
CA/24-25/0026,2024-11-06,C-010,Customer 010 Retail,29ZZ1109A1Z3,370278.00,66650.04,436928.04,SAL-00326
CA/24-25/0027,2024-11-12,C-015,Customer 015 Retail,27ZZ1114A1Z8,340827.00,61348.86,402175.86,SAL-00327
CA/24-25/0028,2024-10-03,C-003,Customer 003 Retail,27ZZ1102A1Z4,317718.00,57189.24,374907.24,SAL-00328
CA/24-25/0029,2024-05-03,C-011,Customer 011 Retail,33ZZ1110A1Z0,31371.00,5646.78,37017.78,SAL-00329
CA/24-25/0030,2025-03-15,C-025,Customer 025 Retail,24ZZ1124A1Z8,29505.00,5310.90,34815.90,SAL-00330
CA/24-25/0031,2024-09-19,C-021,Customer 021 Retail,27ZZ1120A1Z0,287509.00,51751.62,339260.62,SAL-00331
CA/24-25/0032,2025-03-02,C-026,Customer 026 Retail,36ZZ1125A1Z5,287323.00,51718.14,339041.14,SAL-00332
CA/24-25/0033,2024-09-08,C-008,Customer 008 Retail,36ZZ1107A1Z9,316739.00,57013.02,373752.02,SAL-00333
CA/24-25/0034,2024-07-25,C-003,Customer 003 Retail,27ZZ1102A1Z4,314670.00,56640.60,371310.60,SAL-00334
CA/24-25/0035,2024-10-13,C-024,Customer 024 Retail,07ZZ1123A1Z1,215914.00,38864.52,254778.52,SAL-00335
CA/24-25/0036,2024-10-16,C-011,Customer 011 Retail,33ZZ1110A1Z0,17792.00,3202.56,20994.56,SAL-00336
CA/24-25/0037,2024-11-20,C-002,Customer 002 Retail,36ZZ1101A1Z7,45576.00,8203.68,53779.68,SAL-00337
CA/24-25/0038,2024-06-11,C-008,Customer 008 Retail,36ZZ1107A1Z9,359352.00,64683.36,424035.36,SAL-00338
CA/24-25/0039,2025-01-22,C-018,Customer 018 Retail,07ZZ1117A1Z9,65066.00,11711.88,76777.88,SAL-00339
CA/24-25/0040,2024-11-08,C-009,Customer 009 Retail,27ZZ1108A1Z6,163682.00,29462.76,193144.76,SAL-00340
CA/24-25/0041,2024-06-15,C-024,Customer 024 Retail,07ZZ1123A1Z1,169421.00,30495.78,199916.78,SAL-00341
CA/24-25/0042,2024-11-02,C-028,Customer 028 Retail,29ZZ1127A1Z9,240938.00,43368.84,284306.84,SAL-00342
CA/24-25/0043,2024-10-20,C-014,Customer 014 Retail,36ZZ1113A1Z1,122518.00,22053.24,144571.24,SAL-00343
CA/24-25/0044,2024-04-15,C-002,Customer 002 Retail,36ZZ1101A1Z7,250537.00,45096.66,295633.66,SAL-00344
CA/24-25/0045,2024-09-08,C-014,Customer 014 Retail,36ZZ1113A1Z1,24832.00,4469.76,29301.76,SAL-00345
CA/24-25/0046,2024-04-23,C-002,Customer 002 Retail,36ZZ1101A1Z7,287186.00,51693.48,338879.48,SAL-00346
CA/24-25/0047,2025-01-25,C-016,Customer 016 Retail,29ZZ1115A1Z5,33710.00,6067.80,39777.80,SAL-00347
CA/24-25/0048,2024-09-04,C-011,Customer 011 Retail,33ZZ1110A1Z0,308827.00,55588.86,364415.86,SAL-00348
CA/24-25/0049,2024-05-16,C-004,Customer 004 Retail,29ZZ1103A1Z1,278722.00,50169.96,328891.96,SAL-00349
CA/24-25/0050,2024-12-15,C-030,Customer 030 Retail,07ZZ1129A1Z3,8489.00,1528.02,10017.02,SAL-00350
CA/24-25/0051,2024-04-08,C-024,Customer 024 Retail,07ZZ1123A1Z1,314954.00,56691.72,371645.72,SAL-00351
CA/24-25/0052,2024-04-19,C-019,Customer 019 Retail,24ZZ1118A1Z6,347893.00,62620.74,410513.74,SAL-00352
CA/24-25/0053,2024-06-04,C-003,Customer 003 Retail,27ZZ1102A1Z4,109235.00,19662.30,128897.30,SAL-00353
CA/24-25/0054,2024-07-05,C-006,Customer 006 Retail,07ZZ1105A1Z5,206158.00,37108.44,243266.44,SAL-00354
CA/24-25/0055,2024-07-14,C-003,Customer 003 Retail,27ZZ1102A1Z4,301191.00,54214.38,355405.38,SAL-00355
CA/24-25/0056,2024-08-05,C-029,Customer 029 Retail,33ZZ1128A1Z6,87001.00,15660.18,102661.18,SAL-00356
CA/24-25/0057,2024-11-30,C-002,Customer 002 Retail,36ZZ1101A1Z7,178204.00,32076.72,210280.72,SAL-00357
CA/24-25/0058,2025-02-14,C-013,Customer 013 Retail,24ZZ1112A1Z4,167250.00,30105.00,197355.00,SAL-00358
CA/24-25/0059,2024-06-06,C-030,Customer 030 Retail,07ZZ1129A1Z3,75334.00,13560.12,88894.12,SAL-00359
CA/24-25/0060,2025-02-03,C-012,Customer 012 Retail,07ZZ1111A1Z7,162219.00,29199.42,191418.42,SAL-00360
CA/24-25/0061,2024-05-29,C-002,Customer 002 Retail,36ZZ1101A1Z7,18045.00,3248.10,21293.10,SAL-00361
CA/24-25/0062,2024-04-03,C-002,Customer 002 Retail,36ZZ1101A1Z7,194160.00,34948.80,229108.80,SAL-00362
CA/24-25/0063,2025-03-30,C-002,Customer 002 Retail,36ZZ1101A1Z7,45474.00,8185.32,53659.32,SAL-00363
CA/24-25/0064,2024-07-16,C-026,Customer 026 Retail,36ZZ1125A1Z5,336370.00,60546.60,396916.60,SAL-00364
CA/24-25/0065,2024-12-18,C-009,Customer 009 Retail,27ZZ1108A1Z6,99355.00,17883.90,117238.90,SAL-00365
CA/24-25/0066,2025-02-02,C-006,Customer 006 Retail,07ZZ1105A1Z5,308533.00,55535.94,364068.94,SAL-00366
CA/24-25/0067,2024-07-03,C-008,Customer 008 Retail,36ZZ1107A1Z9,299474.00,53905.32,353379.32,SAL-00367
CA/24-25/0068,2025-03-13,C-023,Customer 023 Retail,33ZZ1122A1Z4,211077.00,37993.86,249070.86,SAL-00368
CA/24-25/0069,2025-03-04,C-029,Customer 029 Retail,33ZZ1128A1Z6,123956.00,22312.08,146268.08,SAL-00369
CA/24-25/0070,2024-12-18,C-011,Customer 011 Retail,33ZZ1110A1Z0,254912.00,45884.16,300796.16,SAL-00370
CA/24-25/0071,2025-03-09,C-009,Customer 009 Retail,27ZZ1108A1Z6,219520.00,39513.60,259033.60,SAL-00371
CA/24-25/0072,2024-09-02,C-024,Customer 024 Retail,07ZZ1123A1Z1,31829.00,5729.22,37558.22,SAL-00372
CA/24-25/0073,2025-02-05,C-021,Customer 021 Retail,27ZZ1120A1Z0,19780.00,3560.40,23340.40,SAL-00373
CA/24-25/0074,2024-05-21,C-015,Customer 015 Retail,27ZZ1114A1Z8,362670.00,65280.60,427950.60,SAL-00374
CA/24-25/0075,2024-04-08,C-020,Customer 020 Retail,36ZZ1119A1Z3,169973.00,30595.14,200568.14,SAL-00375
CA/24-25/0076,2024-10-12,C-013,Customer 013 Retail,24ZZ1112A1Z4,255634.00,46014.12,301648.12,SAL-00376
CA/24-25/0077,2024-11-10,C-019,Customer 019 Retail,24ZZ1118A1Z6,332715.00,59888.70,392603.70,SAL-00377
CA/24-25/0078,2025-03-08,C-008,Customer 008 Retail,36ZZ1107A1Z9,376893.00,67840.74,444733.74,SAL-00378
CA/24-25/0079,2024-07-18,C-005,Customer 005 Retail,33ZZ1104A1Z8,69166.00,12449.88,81615.88,SAL-00379
CA/24-25/0080,2024-10-23,C-009,Customer 009 Retail,27ZZ1108A1Z6,86348.00,15542.64,101890.64,SAL-00380
CA/24-25/0081,2024-10-21,C-020,Customer 020 Retail,36ZZ1119A1Z3,352671.00,63480.78,416151.78,SAL-00381
CA/24-25/0082,2024-08-12,C-020,Customer 020 Retail,36ZZ1119A1Z3,277940.00,50029.20,327969.20,SAL-00382
CA/24-25/0083,2025-02-12,C-013,Customer 013 Retail,24ZZ1112A1Z4,3019.00,543.42,3562.42,SAL-00383
CA/24-25/0084,2025-01-16,C-024,Customer 024 Retail,07ZZ1123A1Z1,16839.00,3031.02,19870.02,SAL-00384
CA/24-25/0085,2025-03-13,C-005,Customer 005 Retail,33ZZ1104A1Z8,184823.00,33268.14,218091.14,SAL-00385
CA/24-25/0086,2024-10-22,C-025,Customer 025 Retail,24ZZ1124A1Z8,347874.00,62617.32,410491.32,SAL-00386
CA/24-25/0087,2025-01-16,C-014,Customer 014 Retail,36ZZ1113A1Z1,298692.00,53764.56,352456.56,SAL-00387
CA/24-25/0088,2024-05-20,C-011,Customer 011 Retail,33ZZ1110A1Z0,45376.00,8167.68,53543.68,SAL-00388
CA/24-25/0089,2025-03-15,C-022,Customer 022 Retail,29ZZ1121A1Z7,289325.00,52078.50,341403.50,SAL-00389
CA/24-25/0090,2024-08-30,C-001,Customer 001 Retail,24ZZ1100A1Z0,12430.00,2237.40,14667.40,SAL-00390
CA/24-25/0091,2025-01-24,C-006,Customer 006 Retail,07ZZ1105A1Z5,126372.00,22746.96,149118.96,SAL-00391
CA/24-25/0092,2024-10-01,C-029,Customer 029 Retail,33ZZ1128A1Z6,294265.00,52967.70,347232.70,SAL-00392
CA/24-25/0093,2025-02-05,C-017,Customer 017 Retail,33ZZ1116A1Z2,345836.00,62250.48,408086.48,SAL-00393
CA/24-25/0094,2024-04-18,C-011,Customer 011 Retail,33ZZ1110A1Z0,71925.00,12946.50,84871.50,SAL-00394
CA/24-25/0095,2024-07-27,C-017,Customer 017 Retail,33ZZ1116A1Z2,22035.00,3966.30,26001.30,SAL-00395
CA/24-25/0096,2024-11-24,C-023,Customer 023 Retail,33ZZ1122A1Z4,212393.00,38230.74,250623.74,SAL-00396
CA/24-25/0097,2024-05-29,C-018,Customer 018 Retail,07ZZ1117A1Z9,184497.00,33209.46,217706.46,SAL-00397
CA/24-25/0098,2024-11-10,C-027,Customer 027 Retail,27ZZ1126A1Z2,226240.00,40723.20,266963.20,SAL-00398
CA/24-25/0099,2025-03-09,C-024,Customer 024 Retail,07ZZ1123A1Z1,318814.00,57386.52,376200.52,SAL-00399
CA/24-25/0100,2024-04-24,C-030,Customer 030 Retail,07ZZ1129A1Z3,282878.00,50918.04,333796.04,SAL-00400
CA/24-25/0101,2024-12-20,C-026,Customer 026 Retail,36ZZ1125A1Z5,27607.00,4969.26,32576.26,SAL-00401
CA/24-25/0102,2024-05-20,C-007,Customer 007 Retail,24ZZ1106A1Z2,374774.00,67459.32,442233.32,SAL-00402
CA/24-25/0103,2025-02-22,C-015,Customer 015 Retail,27ZZ1114A1Z8,97783.00,17600.94,115383.94,SAL-00403
CA/24-25/0104,2024-12-16,C-009,Customer 009 Retail,27ZZ1108A1Z6,223142.00,40165.56,263307.56,SAL-00404
CA/24-25/0105,2024-05-19,C-003,Customer 003 Retail,27ZZ1102A1Z4,251578.00,45284.04,296862.04,SAL-00405
CA/24-25/0106,2024-08-11,C-001,Customer 001 Retail,24ZZ1100A1Z0,248964.00,44813.52,293777.52,SAL-00406
CA/24-25/0107,2024-08-02,C-028,Customer 028 Retail,29ZZ1127A1Z9,197472.00,35544.96,233016.96,SAL-00407
CA/24-25/0108,2024-08-25,C-011,Customer 011 Retail,33ZZ1110A1Z0,190719.00,34329.42,225048.42,SAL-00408
CA/24-25/0109,2025-02-10,C-028,Customer 028 Retail,29ZZ1127A1Z9,66281.00,11930.58,78211.58,SAL-00409
CA/24-25/0110,2025-01-10,C-003,Customer 003 Retail,27ZZ1102A1Z4,73932.00,13307.76,87239.76,SAL-00410
CA/24-25/0111,2024-07-07,C-030,Customer 030 Retail,07ZZ1129A1Z3,88334.00,15900.12,104234.12,SAL-00411
CA/24-25/0112,2025-03-11,C-016,Customer 016 Retail,29ZZ1115A1Z5,340459.00,61282.62,401741.62,SAL-00412
CA/24-25/0113,2024-10-26,C-007,Customer 007 Retail,24ZZ1106A1Z2,83846.00,15092.28,98938.28,SAL-00413
CA/24-25/0114,2024-11-15,C-018,Customer 018 Retail,07ZZ1117A1Z9,77875.00,14017.50,91892.50,SAL-00414
CA/24-25/0115,2025-03-14,C-005,Customer 005 Retail,33ZZ1104A1Z8,45128.00,8123.04,53251.04,SAL-00415
CA/24-25/0116,2024-09-03,C-028,Customer 028 Retail,29ZZ1127A1Z9,105010.00,18901.80,123911.80,SAL-00416
CA/24-25/0117,2024-04-04,C-027,Customer 027 Retail,27ZZ1126A1Z2,298309.00,53695.62,352004.62,SAL-00417
CA/24-25/0118,2024-07-07,C-028,Customer 028 Retail,29ZZ1127A1Z9,105795.00,19043.10,124838.10,SAL-00418
CA/24-25/0119,2024-07-04,C-022,Customer 022 Retail,29ZZ1121A1Z7,372260.00,67006.80,439266.80,SAL-00419
CA/24-25/0120,2024-11-04,C-018,Customer 018 Retail,07ZZ1117A1Z9,275786.00,49641.48,325427.48,SAL-00420
CA/24-25/0121,2024-08-06,C-021,Customer 021 Retail,27ZZ1120A1Z0,137672.00,24780.96,162452.96,SAL-00421
CA/24-25/0122,2025-03-03,C-006,Customer 006 Retail,07ZZ1105A1Z5,368191.00,66274.38,434465.38,SAL-00422
CA/24-25/0123,2025-01-10,C-025,Customer 025 Retail,24ZZ1124A1Z8,133318.00,23997.24,157315.24,SAL-00423
CA/24-25/0124,2024-05-13,C-003,Customer 003 Retail,27ZZ1102A1Z4,44626.00,8032.68,52658.68,SAL-00424
CA/24-25/0125,2024-10-19,C-002,Customer 002 Retail,36ZZ1101A1Z7,55762.00,10037.16,65799.16,SAL-00425
CA/24-25/0126,2025-02-10,C-025,Customer 025 Retail,24ZZ1124A1Z8,317280.00,57110.40,374390.40,SAL-00426
CA/24-25/0127,2024-06-09,C-019,Customer 019 Retail,24ZZ1118A1Z6,79041.00,14227.38,93268.38,SAL-00427
CA/24-25/0128,2024-04-19,C-025,Customer 025 Retail,24ZZ1124A1Z8,192044.00,34567.92,226611.92,SAL-00428
CA/24-25/0129,2025-02-26,C-009,Customer 009 Retail,27ZZ1108A1Z6,8848.00,1592.64,10440.64,SAL-00429
CA/24-25/0130,2025-01-01,C-023,Customer 023 Retail,33ZZ1122A1Z4,349071.00,62832.78,411903.78,SAL-00430
CA/24-25/0131,2025-01-16,C-002,Customer 002 Retail,36ZZ1101A1Z7,275446.00,49580.28,325026.28,SAL-00431
CA/24-25/0132,2025-03-01,C-018,Customer 018 Retail,07ZZ1117A1Z9,60538.00,10896.84,71434.84,SAL-00432
CA/24-25/0133,2025-03-23,C-005,Customer 005 Retail,33ZZ1104A1Z8,181489.00,32668.02,214157.02,SAL-00433
CA/24-25/0134,2024-05-19,C-015,Customer 015 Retail,27ZZ1114A1Z8,104885.00,18879.30,123764.30,SAL-00434
CA/24-25/0135,2024-07-11,C-028,Customer 028 Retail,29ZZ1127A1Z9,366135.00,65904.30,432039.30,SAL-00435
CA/24-25/0136,2024-07-14,C-006,Customer 006 Retail,07ZZ1105A1Z5,263648.00,47456.64,311104.64,SAL-00436
CA/24-25/0137,2025-03-17,C-006,Customer 006 Retail,07ZZ1105A1Z5,278073.00,50053.14,328126.14,SAL-00437
CA/24-25/0138,2024-04-16,C-017,Customer 017 Retail,33ZZ1116A1Z2,264449.00,47600.82,312049.82,SAL-00438
CA/24-25/0139,2024-09-27,C-006,Customer 006 Retail,07ZZ1105A1Z5,230779.00,41540.22,272319.22,SAL-00439
CA/24-25/0140,2024-12-03,C-012,Customer 012 Retail,07ZZ1111A1Z7,108340.00,19501.20,127841.20,SAL-00440
CA/24-25/0141,2024-10-06,C-007,Customer 007 Retail,24ZZ1106A1Z2,152990.00,27538.20,180528.20,SAL-00441
CA/24-25/0142,2024-09-28,C-028,Customer 028 Retail,29ZZ1127A1Z9,203269.00,36588.42,239857.42,SAL-00442
CA/24-25/0143,2024-11-06,C-010,Customer 010 Retail,29ZZ1109A1Z3,342654.00,61677.72,404331.72,SAL-00443
CA/24-25/0144,2024-07-26,C-006,Customer 006 Retail,07ZZ1105A1Z5,284788.00,51261.84,336049.84,SAL-00444
CA/24-25/0145,2024-06-22,C-023,Customer 023 Retail,33ZZ1122A1Z4,176676.00,31801.68,208477.68,SAL-00445
CA/24-25/0146,2025-02-17,C-018,Customer 018 Retail,07ZZ1117A1Z9,88366.00,15905.88,104271.88,SAL-00446
CA/24-25/0147,2024-07-20,C-026,Customer 026 Retail,36ZZ1125A1Z5,339304.00,61074.72,400378.72,SAL-00447
CA/24-25/0148,2024-04-11,C-010,Customer 010 Retail,29ZZ1109A1Z3,312422.00,56235.96,368657.96,SAL-00448
CA/24-25/0149,2025-02-05,C-025,Customer 025 Retail,24ZZ1124A1Z8,223366.00,40205.88,263571.88,SAL-00449
CA/24-25/0150,2024-11-08,C-019,Customer 019 Retail,24ZZ1118A1Z6,365602.00,65808.36,431410.36,SAL-00450
CA/24-25/0151,2024-05-01,C-018,Customer 018 Retail,07ZZ1117A1Z9,224103.00,40338.54,264441.54,SAL-00451
CA/24-25/0152,2024-04-25,C-010,Customer 010 Retail,29ZZ1109A1Z3,362349.00,65222.82,427571.82,SAL-00452
CA/24-25/0153,2025-02-19,C-016,Customer 016 Retail,29ZZ1115A1Z5,119147.00,21446.46,140593.46,SAL-00453
CA/24-25/0154,2024-04-01,C-018,Customer 018 Retail,07ZZ1117A1Z9,171917.00,30945.06,202862.06,SAL-00454
CA/24-25/0155,2025-01-27,C-023,Customer 023 Retail,33ZZ1122A1Z4,335399.00,60371.82,395770.82,SAL-00455
CA/24-25/0156,2024-12-06,C-021,Customer 021 Retail,27ZZ1120A1Z0,63334.00,11400.12,74734.12,SAL-00456
CA/24-25/0157,2024-04-23,C-011,Customer 011 Retail,33ZZ1110A1Z0,258814.00,46586.52,305400.52,SAL-00457
CA/24-25/0158,2024-05-21,C-001,Customer 001 Retail,24ZZ1100A1Z0,308706.00,55567.08,364273.08,SAL-00458
CA/24-25/0159,2024-04-05,C-019,Customer 019 Retail,24ZZ1118A1Z6,35749.00,6434.82,42183.82,SAL-00459
CA/24-25/0160,2024-05-08,C-005,Customer 005 Retail,33ZZ1104A1Z8,220674.00,39721.32,260395.32,SAL-00460
CA/24-25/0161,2024-10-19,C-001,Customer 001 Retail,24ZZ1100A1Z0,35707.00,6427.26,42134.26,SAL-00461
CA/24-25/0162,2024-06-21,C-025,Customer 025 Retail,24ZZ1124A1Z8,360296.00,64853.28,425149.28,SAL-00462
CA/24-25/0163,2024-07-02,C-026,Customer 026 Retail,36ZZ1125A1Z5,36456.00,6562.08,43018.08,SAL-00463
CA/24-25/0164,2025-01-10,C-018,Customer 018 Retail,07ZZ1117A1Z9,378599.00,68147.82,446746.82,SAL-00464
CA/24-25/0165,2024-10-19,C-012,Customer 012 Retail,07ZZ1111A1Z7,192073.00,34573.14,226646.14,SAL-00465
CA/24-25/0166,2024-10-23,C-003,Customer 003 Retail,27ZZ1102A1Z4,198900.00,35802.00,234702.00,SAL-00466
CA/24-25/0167,2025-01-04,C-014,Customer 014 Retail,36ZZ1113A1Z1,254831.00,45869.58,300700.58,SAL-00467
CA/24-25/0168,2024-05-26,C-004,Customer 004 Retail,29ZZ1103A1Z1,28535.00,5136.30,33671.30,SAL-00468
CA/24-25/0169,2025-01-31,C-013,Customer 013 Retail,24ZZ1112A1Z4,236171.00,42510.78,278681.78,SAL-00469
CA/24-25/0170,2024-11-02,C-013,Customer 013 Retail,24ZZ1112A1Z4,274414.00,49394.52,323808.52,SAL-00470
CA/24-25/0171,2024-08-02,C-013,Customer 013 Retail,24ZZ1112A1Z4,205302.00,36954.36,242256.36,SAL-00471
CA/24-25/0172,2024-12-05,C-029,Customer 029 Retail,33ZZ1128A1Z6,11851.00,2133.18,13984.18,SAL-00472
CA/24-25/0173,2024-09-14,C-023,Customer 023 Retail,33ZZ1122A1Z4,320431.00,57677.58,378108.58,SAL-00473
CA/24-25/0174,2024-06-12,C-030,Customer 030 Retail,07ZZ1129A1Z3,183309.00,32995.62,216304.62,SAL-00474
CA/24-25/0175,2025-03-14,C-013,Customer 013 Retail,24ZZ1112A1Z4,225399.00,40571.82,265970.82,SAL-00475
CA/24-25/0176,2024-07-21,C-015,Customer 015 Retail,27ZZ1114A1Z8,325965.00,58673.70,384638.70,SAL-00476
CA/24-25/0177,2025-03-18,C-007,Customer 007 Retail,24ZZ1106A1Z2,63780.00,11480.40,75260.40,SAL-00477
CA/24-25/0178,2025-01-13,C-002,Customer 002 Retail,36ZZ1101A1Z7,348855.00,62793.90,411648.90,SAL-00478
CA/24-25/0179,2024-07-21,C-008,Customer 008 Retail,36ZZ1107A1Z9,204941.00,36889.38,241830.38,SAL-00479
CA/24-25/0180,2024-10-06,C-018,Customer 018 Retail,07ZZ1117A1Z9,173280.00,31190.40,204470.40,SAL-00480
CA/24-25/0181,2024-07-22,C-016,Customer 016 Retail,29ZZ1115A1Z5,207846.00,37412.28,245258.28,SAL-00481
CA/24-25/0182,2024-12-31,C-023,Customer 023 Retail,33ZZ1122A1Z4,356154.00,64107.72,420261.72,SAL-00482
CA/24-25/0183,2024-05-16,C-010,Customer 010 Retail,29ZZ1109A1Z3,151650.00,27297.00,178947.00,SAL-00483
CA/24-25/0184,2024-10-31,C-006,Customer 006 Retail,07ZZ1105A1Z5,305452.00,54981.36,360433.36,SAL-00484
CA/24-25/0185,2024-04-23,C-018,Customer 018 Retail,07ZZ1117A1Z9,106429.00,19157.22,125586.22,SAL-00485
CA/24-25/0186,2024-12-29,C-010,Customer 010 Retail,29ZZ1109A1Z3,106217.00,19119.06,125336.06,SAL-00486
CA/24-25/0187,2025-02-14,C-025,Customer 025 Retail,24ZZ1124A1Z8,326246.00,58724.28,384970.28,SAL-00487
CA/24-25/0188,2024-09-03,C-027,Customer 027 Retail,27ZZ1126A1Z2,135417.00,24375.06,159792.06,SAL-00488
CA/24-25/0189,2024-09-13,C-010,Customer 010 Retail,29ZZ1109A1Z3,278702.00,50166.36,328868.36,SAL-00489
CA/24-25/0190,2025-01-19,C-013,Customer 013 Retail,24ZZ1112A1Z4,7092.00,1276.56,8368.56,SAL-00490
CA/24-25/0191,2025-03-23,C-020,Customer 020 Retail,36ZZ1119A1Z3,266340.00,47941.20,314281.20,SAL-00491
CA/24-25/0192,2025-03-23,C-002,Customer 002 Retail,36ZZ1101A1Z7,70886.00,12759.48,83645.48,SAL-00492
CA/24-25/0193,2025-01-22,C-026,Customer 026 Retail,36ZZ1125A1Z5,290650.00,52317.00,342967.00,SAL-00493
CA/24-25/0194,2025-01-14,C-030,Customer 030 Retail,07ZZ1129A1Z3,162190.00,29194.20,191384.20,SAL-00494
CA/24-25/0195,2024-08-29,C-022,Customer 022 Retail,29ZZ1121A1Z7,209861.00,37774.98,247635.98,SAL-00495
CA/24-25/0196,2024-04-14,C-003,Customer 003 Retail,27ZZ1102A1Z4,190342.00,34261.56,224603.56,SAL-00496
CA/24-25/0197,2024-07-20,C-007,Customer 007 Retail,24ZZ1106A1Z2,123278.00,22190.04,145468.04,SAL-00497
CA/24-25/0198,2024-07-13,C-028,Customer 028 Retail,29ZZ1127A1Z9,374219.00,67359.42,441578.42,SAL-00498
CA/24-25/0199,2024-12-25,C-024,Customer 024 Retail,07ZZ1123A1Z1,209477.00,37705.86,247182.86,SAL-00499
CA/24-25/0200,2024-12-17,C-015,Customer 015 Retail,27ZZ1114A1Z8,55594.00,10006.92,65600.92,SAL-00500
CA/24-25/0201,2024-10-15,C-011,Customer 011 Retail,33ZZ1110A1Z0,277678.00,49982.04,327660.04,SAL-00501
CA/24-25/0202,2025-02-07,C-002,Customer 002 Retail,36ZZ1101A1Z7,139092.00,25036.56,164128.56,SAL-00502
CA/24-25/0203,2024-05-29,C-021,Customer 021 Retail,27ZZ1120A1Z0,344172.00,61950.96,406122.96,SAL-00503
CA/24-25/0204,2024-05-13,C-025,Customer 025 Retail,24ZZ1124A1Z8,285309.00,51355.62,336664.62,SAL-00504
CA/24-25/0205,2025-03-19,C-027,Customer 027 Retail,27ZZ1126A1Z2,314195.00,56555.10,370750.10,SAL-00505
CA/24-25/0206,2024-11-04,C-019,Customer 019 Retail,24ZZ1118A1Z6,57224.00,10300.32,67524.32,SAL-00506
CA/24-25/0207,2024-11-03,C-011,Customer 011 Retail,33ZZ1110A1Z0,109331.00,19679.58,129010.58,SAL-00507
CA/24-25/0208,2025-01-08,C-030,Customer 030 Retail,07ZZ1129A1Z3,42960.00,7732.80,50692.80,SAL-00508
CA/24-25/0209,2024-10-19,C-023,Customer 023 Retail,33ZZ1122A1Z4,192923.00,34726.14,227649.14,SAL-00509
CA/24-25/0210,2024-10-20,C-014,Customer 014 Retail,36ZZ1113A1Z1,208186.00,37473.48,245659.48,SAL-00510
